Description,SKSCodes_range,SKSCodes
Viral leverbetændelse [DB15-DB19],DB15-DB19,"DB15, DB150, DB159, DB159A, DB16, DB160, DB161, DB162, DB169, DB169A, DB17, DB170, DB171, DB172, DB178, DB179, DB18, DB180, DB181, DB182, DB188, DB189, DB19, DB190, DB199"
Human immundefekt virus (HIV) sygdom [DB20-DB24],DB20-DB24,"DB20, DB200, DB200A, DB201, DB202, DB203, DB204, DB205, DB206, DB207, DB208, DB209, DB22, DB220, DB220A, DB221, DB222, DB227, DB23, DB230, DB231, DB232, DB238, DB238A, DB24, DB249"
Andre virale sygdomme [DB25-DB34],DB25-DB34,"DB25, DB250, DB251, DB252, DB258, DB259, DB26, DB260, DB261, DB262, DB263, DB268, DB269, DB27, DB270, DB271, DB278, DB279, DB30, DB300, DB301, DB301A, DB301B, DB302, DB303, DB303A, DB303B, DB303C, DB308, DB308A, DB309, DB33, DB330, DB331, DB332, DB333, DB334, DB338, DB34, DB340, DB341, DB341A, DB341B, DB342, DB342A, DB343, DB344, DB348, DB349, DB349A"
Svampesygdomme [DB35-DB49],DB35-DB49,"DB35, DB350, DB350A, DB350B, DB350C, DB351, DB352, DB353, DB354, DB354A, DB355, DB356, DB356B, DB358, DB358A, DB358B, DB359, DB36, DB360, DB361, DB362, DB363, DB368, DB368A, DB369, DB37, DB370, DB370A, DB371, DB372, DB372A, DB372B, DB373, DB373A, DB373B, DB373C, DB374, DB375, DB376, DB377, DB378, DB378A, DB378B, DB378C, DB379, DB38, DB380, DB381, DB382, DB383, DB384, DB387, DB388, DB389, DB39, DB390, DB391, DB392, DB393, DB394, DB395, DB399, DB40, DB400, DB401, DB402, DB403, DB407, DB408, DB409, DB41, DB410, DB411, DB418, DB419, DB42, DB420, DB421, DB427, DB428, DB429, DB43, DB430, DB431, DB432, DB438, DB439, DB44, DB440, DB441, DB441A, DB441B, DB442, DB447, DB448, DB448A, DB448B, DB449, DB45, DB450, DB451, DB451B, DB452, DB453, DB457, DB458, DB459, DB46, DB460, DB461, DB462, DB463, DB463A, DB464, DB465, DB468, DB468A, DB469, DB469B, DB47, DB470, DB471, DB479, DB48, DB480, DB481, DB482, DB483, DB484, DB485, DB487, DB488, DB49, DB499, DB499A"
Protozosygdomme [DB50-DB64],DB50-DB64,"DB50, DB500, DB500A, DB508, DB509, DB51, DB510, DB518, DB519, DB52, DB520, DB528, DB529, DB53, DB530, DB531, DB538, DB538A, DB54, DB549, DB55, DB550, DB551, DB552, DB559, DB56, DB560, DB561, DB569, DB57, DB570, DB571, DB572, DB572A, DB573, DB574, DB575, DB579, DB58, DB580, DB581, DB582, DB583, DB588, DB589, DB60, DB600, DB600A, DB601, DB602, DB608, DB608A, DB64, DB649"
Ormesygdomme [DB65-DB83],DB65-DB83,"DB65, DB650, DB651, DB652, DB653, DB658, DB659, DB66, DB660, DB661, DB662, DB663, DB664, DB665, DB668, DB669, DB67, DB670, DB671, DB672, DB673, DB674, DB675, DB676, DB677, DB678, DB679, DB68, DB680, DB681, DB689, DB69, DB690, DB691, DB698, DB699, DB70, DB700, DB701, DB71, DB710, DB711, DB718, DB719, DB72, DB729, DB73, DB739, DB74, DB740, DB741, DB742, DB743, DB744, DB748, DB748B, DB749, DB75, DB759, DB76, DB760, DB761, DB768, DB769, DB769A, DB77, DB770, DB778, DB779, DB78, DB780, DB781, DB787, DB789, DB79, DB799, DB80, DB809, DB81, DB810, DB811, DB812, DB813, DB814, DB818, DB82, DB820, DB829, DB83, DB830, DB830A, DB831, DB832, DB833, DB834, DB838, DB839"
"Infestationer med lus, mider og andre ektoparasitter [DB85-DB89]",DB85-DB89,"DB85, DB850, DB851, DB852, DB853, DB854, DB86, DB869, DB869A, DB869B, DB87, DB870, DB871, DB872, DB873, DB874, DB878, DB879, DB88, DB880, DB881, DB882, DB883, DB888, DB888A, DB888B, DB888C, DB888D, DB889, DB89, DB899, DB899A"
Følgetilstande efter infektiøse og parasitære sygdomme [DB90-DB94],DB90-DB94,"DB90, DB900, DB901, DB902, DB908, DB909, DB91, DB919, DB92, DB929, DB94, DB940, DB941, DB942, DB948, DB948A, DB949"
"Bakterielle, virale og andre infektiøse agentia [DB95-DB98]",DB95-DB98,"DB95, DB950, DB951, DB952, DB953, DB954, DB955, DB956, DB956A, DB957, DB958, DB96, DB960, DB961, DB962, DB963, DB964, DB965, DB966, DB967, DB968, DB97, DB970, DB971, DB972, DB972A, DB972B, DB972B1, DB973, DB974, DB975, DB976, DB977, DB978, DB98, DB980, DB981"
Andre infektionssygdomme [DB99-DB99],DB99-DB99,"DB99, DB999"
