Description,SKSCodes_range,SKSCodes
Tumorer af usikker eller ukendt karakter [DD37-DD48],DD37-DD48,"DD37, DD370, DD370A, DD370B, DD370C, DD371, DD372, DD373, DD374, DD375, DD376, DD376A, DD376B, DD376C, DD377, DD377A, DD377B, DD377C, DD379, DD38, DD380, DD381, DD381A, DD381B, DD381C, DD382, DD383, DD384, DD385, DD385A, DD385B, DD385C, DD385D, DD389, DD39, DD390, DD391, DD391A, DD392, DD392A, DD392B, DD397, DD397A, DD399, DD40, DD400, DD401, DD407, DD407A, DD409, DD41, DD410, DD411, DD412, DD413, DD414, DD417, DD419, DD42, DD420, DD421, DD429, DD43, DD430, DD430B, DD430C, DD430D, DD430E, DD430F, DD431, DD431G, DD431H, DD431J, DD432, DD433, DD434, DD437, DD439, DD44, DD440, DD441, DD442, DD443, DD444, DD445, DD446, DD447, DD447A, DD447B, DD448, DD448A, DD449, DD45, DD459, DD46, DD460, DD460A, DD460B, DD460C, DD461, DD462, DD462A, DD462B, DD464, DD465, DD466, DD467, DD469, DD47, DD470, DD470A, DD470B, DD470C, DD471, DD471B, DD472, DD472A, DD472B, DD473, DD474, DD474A, DD474B, DD474C, DD475, DD477, DD477A, DD477C, DD477D, DD479, DD479A, DD479B, DD48, DD480, DD481, DD482, DD482A, DD482B, DD482C, DD482D, DD482E, DD483, DD484, DD485, DD485A, DD485B, DD485C, DD485D, DD486, DD486A, DD487, DD487A, DD487B, DD487C, DD487D, DD489"
Ernæringsbetingede anæmier [DD50-DD53],DD50-DD53,"DD50, DD500, DD501, DD501A, DD508, DD508A, DD509, DD509A, DD51, DD510, DD511, DD511A, DD512, DD513, DD513A, DD518, DD519, DD52, DD520, DD521, DD528, DD529, DD53, DD530, DD531, DD531A, DD532, DD538, DD538A, DD538B, DD538C, DD538M, DD539"
Hæmolytiske anæmier [DD55-DD59],DD55-DD59,"DD55, DD550, DD551, DD552, DD553, DD558, DD559, DD56, DD560, DD561, DD561A, DD561C, DD562, DD563, DD564, DD568, DD569, DD57, DD570, DD571, DD572, DD572A, DD572B, DD572C, DD572D, DD573, DD578, DD58, DD580, DD581, DD581A, DD582, DD582A, DD582B, DD582C, DD582D, DD582E, DD588, DD588A, DD589, DD59, DD590, DD591, DD591A, DD592, DD593, DD594, DD594A, DD594B, DD594C, DD595, DD596, DD596A, DD596B, DD598, DD599, DD599A"
Aplastiske og andre anæmier [DD60-DD64],DD60-DD64,"DD60, DD600, DD601, DD608, DD609, DD61, DD610, DD610A, DD610B, DD610C, DD610D, DD610E, DD611, DD612, DD613, DD618, DD619, DD619A, DD619B, DD619C, DD619D, DD62, DD629, DD63, DD630, DD638, DD64, DD640, DD640A, DD641, DD642, DD643, DD643A, DD644, DD648, DD648A, DD648B, DD649"
"Koagulationsdefekter, purpura og andre hæmoragiske tilstande [DD65-DD69]",DD65-DD69,"DD65, DD659, DD659A, DD659B, DD659C, DD659D, DD66, DD669, DD669B, DD669C, DD669D, DD669E, DD67, DD679, DD679A, DD679B, DD679C, DD679D, DD68, DD680, DD680A, DD680B, DD680B1, DD680B2, DD680B3, DD680B4, DD680C, DD681, DD682, DD682A, DD683, DD683A, DD684, DD684A, DD684B, DD684C, DD685, DD685A, DD685B, DD685E, DD685F, DD685K, DD685L, DD685M, DD686, DD686E, DD686F, DD686G, DD688, DD689, DD69, DD690, DD690A, DD690B, DD690C, DD690D, DD690E, DD690F, DD691, DD691A, DD691B, DD691C, DD692, DD692B, DD692C, DD692D, DD692E, DD692F, DD692H, DD693, DD694, DD694A, DD695, DD696, DD698, DD698A, DD698B, DD699"
Andre sygdomme i blod og bloddannende organer [DD70-DD77],DD70-DD77,"DD70, DD709, DD709A, DD709B, DD709C, DD709D, DD709E, DD71, DD719, DD719A, DD719B, DD719C, DD719D, DD72, DD720, DD720A, DD720B, DD720C, DD720D, DD720E, DD720F, DD721, DD721A, DD721B, DD728, DD728A, DD728B, DD728C, DD728D, DD728E, DD728F, DD728G, DD728H, DD729, DD73, DD730, DD730A, DD730B, DD731, DD732, DD733, DD734, DD735, DD735A, DD735B, DD738, DD738A, DD738C, DD738D, DD739, DD74, DD740, DD740A, DD740B, DD748, DD748A, DD748B, DD748C, DD749, DD75, DD750, DD751, DD751C, DD751D, DD751E, DD751F, DD751G, DD751H, DD758, DD758C, DD758D, DD759, DD76, DD761, DD761A, DD762, DD763, DD763A, DD763B, DD763D, DD77, DD779, DD779A"
Visse forstyrrelser i immunsystem [DD80-DD89],DD80-DD89,"DD80, DD800, DD800A, DD800B, DD801, DD801A, DD801B, DD801C, DD802, DD803, DD804, DD805, DD806, DD807, DD808, DD808A, DD809, DD81, DD810, DD811, DD812, DD813, DD814, DD815, DD816, DD817, DD818, DD819, DD819A, DD82, DD820, DD821, DD822, DD823, DD823A, DD824, DD828, DD829, DD83, DD830, DD831, DD832, DD838, DD839, DD84, DD840, DD841, DD841A, DD841B, DD848, DD849, DD86, DD860, DD861, DD862, DD863, DD863A, DD868, DD868A, DD868G, DD869, DD89, DD890, DD890A, DD890B, DD891, DD892, DD898, DD899"
Sygdomme i skjoldbruskkirtlen [DE00-DE07],DE00-DE07,"DE00, DE000, DE001, DE002, DE009, DE01, DE010, DE011, DE012, DE018, DE02, DE029, DE03, DE030, DE030A, DE031, DE031A, DE031B, DE031C, DE032, DE033, DE034, DE035, DE038, DE039, DE04, DE040, DE041, DE042, DE042A, DE048, DE048A, DE049, DE05, DE050, DE051, DE052, DE052A, DE053, DE054, DE055, DE058, DE058A, DE058B, DE058C, DE059, DE059A, DE06, DE060, DE060A, DE060B, DE061, DE061C, DE062, DE063, DE063A, DE063B, DE064, DE065, DE065A, DE065B, DE065C, DE065D, DE069, DE07, DE070, DE070A, DE071, DE071A, DE071B, DE078, DE078B, DE078C, DE078D, DE078E, DE079"
Sukkersyge [DE10-DE14],DE10-DE14,"DE10, DE100, DE101, DE102, DE103, DE104, DE105, DE105A, DE105B, DE105C, DE105D, DE106, DE107, DE108, DE109, DE109A, DE11, DE110, DE111, DE112, DE113, DE114, DE115, DE115A, DE115B, DE115C, DE115D, DE116, DE117, DE118, DE119, DE119A, DE12, DE120, DE121, DE122, DE123, DE124, DE125, DE125A, DE125B, DE125C, DE125D, DE126, DE127, DE128, DE129, DE13, DE130, DE131, DE132, DE133, DE134, DE135, DE135A, DE135B, DE135C, DE135D, DE136, DE137, DE138, DE139, DE14, DE140, DE141, DE142, DE143, DE144, DE145, DE145A, DE145B, DE145C, DE145D, DE146, DE147, DE148, DE149"
Andre sygdomme i sukkerregulation og bugspytkirtlens indre sekretion [DE15-DE16],DE15-DE16,"DE15, DE159, DE159B, DE16, DE160, DE161, DE161A, DE161B, DE161C, DE161D, DE162, DE163, DE163A, DE164, DE164A, DE164B, DE168, DE168B, DE168C, DE168D, DE168F, DE169, DE169A"
Sygdomme i andre endokrine kirtler [DE20-DE35],DE20-DE35,"DE20, DE200, DE201, DE208, DE209, DE21, DE210, DE210A, DE210B, DE211, DE212, DE212A, DE213, DE213A, DE214, DE215, DE22, DE220, DE220A, DE220C, DE221, DE222, DE222A, DE228, DE228A, DE229, DE23, DE230, DE230A, DE230B, DE230C, DE230D, DE230E, DE230F, DE230G, DE230H, DE230I, DE231, DE232, DE233, DE236, DE236A, DE236B, DE236C, DE236E, DE237, DE24, DE240, DE241, DE242, DE243, DE244, DE248, DE249, DE25, DE250, DE250B, DE250C, DE250D, DE258, DE258A, DE259, DE26, DE260, DE260B, DE261, DE268, DE268A, DE269, DE27, DE270, DE270A, DE270B, DE271, DE271A, DE271B, DE272, DE273, DE274, DE274A, DE274B, DE274C, DE274D, DE274E, DE275, DE278, DE278A, DE279, DE28, DE280, DE281, DE282, DE282A, DE282C, DE283, DE283A, DE283B, DE288, DE288A, DE289, DE29, DE290, DE291, DE291A, DE291B, DE291C, DE298, DE299, DE30, DE300, DE301, DE308, DE308A, DE309, DE31, DE310, DE310A, DE311, DE318, DE319, DE32, DE320, DE321, DE328, DE329, DE34, DE340, DE341, DE342, DE343, DE343A, DE343B, DE343C, DE344, DE345, DE345A, DE345B, DE348, DE348A, DE348B, DE348C, DE348D, DE348D1, DE348D1A, DE348D1B, DE348D1C, DE348D1D, DE348D1E, DE348D1F, DE348D1G, DE348D1H, DE348D1J, DE348D1K, DE348D1M, DE348D1N, DE348D1P, DE348D1Q, DE349, DE35, DE350, DE351, DE358"
Underernæring [DE40-DE47],DE40-DE47,"DE40, DE409, DE41, DE419, DE42, DE429, DE43, DE439, DE439A, DE44, DE440, DE441, DE45, DE459, DE46, DE469, DE47, DE470"
Andre ernæringsbetingede mangeltilstande [DE50-DE64],DE50-DE64,"DE50, DE500, DE501, DE502, DE503, DE504, DE505, DE506, DE507, DE507A, DE508, DE508B, DE508C, DE509, DE51, DE511, DE511A, DE511B, DE512, DE518, DE519, DE52, DE529, DE529A, DE53, DE530, DE531, DE538, DE538A, DE538B, DE538C, DE538D, DE538E, DE539, DE54, DE549, DE55, DE550, DE559, DE56, DE560, DE561, DE568, DE569, DE58, DE589, DE59, DE599, DE60, DE609, DE61, DE610, DE611, DE612, DE613, DE614, DE615, DE616, DE617, DE618, DE619, DE63, DE630, DE631, DE638, DE639, DE64, DE640, DE641, DE642, DE643, DE648, DE648A, DE648B, DE649"
Fedme og anden form for øget fødeindtagelse [DE65-DE68],DE65-DE68,"DE65, DE658, DE658A, DE658B, DE659, DE66, DE660, DE660A, DE660B, DE660C, DE660E, DE660F, DE660G, DE660H, DE661, DE662, DE668, DE669, DE67, DE670, DE671, DE672, DE673, DE678, DE68, DE689"
Metaboliske sygdomme [DE70-DE89],DE70-DE89,"DE70, DE700, DE701, DE702, DE702A, DE702B, DE703, DE703A, DE703B, DE703F, DE708, DE708A, DE708B, DE709, DE71, DE710, DE711, DE711A, DE711B, DE711C, DE711D, DE711E, DE712, DE713, DE713A, DE713B, DE713C, DE713C1, DE713C2, DE713C3, DE713C4, DE72, DE720, DE720A, DE720B, DE720C, DE720D, DE720E, DE721, DE721A, DE721B, DE721C, DE721D, DE721E, DE722, DE722A, DE722B, DE722C, DE722D, DE723, DE723A, DE723B, DE723C, DE724, DE725, DE725A, DE725B, DE725C, DE725D, DE728, DE728A, DE728B, DE728E, DE728F, DE729, DE73, DE730, DE731, DE738, DE738A, DE739, DE74, DE740, DE740A, DE740B, DE740C, DE740E, DE740F, DE740G, DE740H, DE740I, DE740J, DE741, DE741B, DE741C, DE741D, DE742, DE742A, DE742B, DE743, DE743A, DE743B, DE744, DE744A, DE744B, DE744C, DE748, DE748A, DE748B, DE748C, DE748D, DE748E, DE748G, DE749, DE75, DE750, DE750A, DE750B, DE750C, DE750D, DE751, DE751A, DE751B, DE751C, DE751D, DE752, DE752A, DE752B, DE752C, DE752D, DE752E, DE752F, DE752G, DE752H, DE753, DE754, DE754B, DE754C, DE754E, DE754F, DE755, DE755A, DE755B, DE756, DE76, DE760, DE760A, DE760B, DE760C, DE761, DE762, DE762A, DE762B, DE762C, DE762E, DE762G, DE762H, DE763, DE768, DE769, DE77, DE770, DE770A, DE770B, DE771, DE771A, DE771B, DE771C, DE771D, DE778, DE779, DE78, DE780, DE780A, DE780B, DE780B1, DE780B2, DE780C, DE780D, DE780E, DE781, DE781A, DE781B, DE781C, DE781D, DE781E, DE782, DE782A, DE782B, DE782C, DE782D, DE782E, DE782F, DE782G, DE782H, DE782J, DE783, DE783A, DE783B, DE783C, DE784, DE784A, DE784B, DE784C, DE785, DE786, DE786A, DE786B, DE786C, DE786E, DE786F, DE788, DE788A, DE788B, DE789, DE79, DE790, DE791, DE798, DE798A, DE798B, DE798C, DE799, DE80, DE800, DE801, DE802, DE802A, DE802B, DE802C, DE802D, DE802E, DE802F, DE802G, DE803, DE803A, DE803B, DE804, DE804A, DE805, DE806, DE806A, DE806B, DE807, DE83, DE830, DE830A, DE830B, DE831, DE831A, DE832, DE832A, DE833, DE833A, DE833A1, DE833B, DE834, DE834A, DE834B, DE835, DE835A, DE835B, DE835C, DE835D, DE838, DE839, DE84, DE840, DE841, DE848, DE849, DE85, DE850, DE850A, DE851, DE851A, DE852, DE853, DE853B, DE854, DE858, DE858A, DE859, DE86, DE869, DE869A, DE869B, DE87, DE870, DE870A, DE870B, DE871, DE871A, DE871B, DE872, DE872A, DE872B, DE872C, DE873, DE873A, DE873B, DE874, DE875, DE876, DE877, DE877A, DE878, DE878A, DE878B, DE878C, DE88, DE880, DE880A, DE880B, DE880C, DE881, DE881A, DE882, DE882A, DE882B, DE883, DE888, DE888A, DE888B, DE888C, DE888D, DE889, DE89, DE890, DE890A, DE890B, DE891, DE891A, DE891C, DE892, DE892A, DE892B, DE893, DE893A, DE893B, DE894, DE894A, DE894B, DE895, DE895A, DE895B, DE896, DE898, DE899"
Organiske inklusive symptomatiske psykiske lidelser [DF00-DF09],DF00-DF09,"DF00, DF000, DF0000, DF0001, DF0002, DF0003, DF0004, DF001, DF0010, DF0011, DF0012, DF0013, DF0014, DF002, DF0020, DF0021, DF0022, DF0023, DF0024, DF009, DF0090, DF0091, DF0092, DF0093, DF0094, DF01, DF010, DF0100, DF0101, DF0102, DF0103, DF0104, DF011, DF0110, DF0111, DF0112, DF0113, DF0114, DF012, DF0120, DF0121, DF0122, DF0123, DF0124, DF013, DF0130, DF0131, DF0132, DF0133, DF0134, DF018, DF0180, DF0181, DF0182, DF0183, DF0184, DF019, DF0190, DF0191, DF0192, DF0193, DF0194, DF02, DF020, DF0200, DF0201, DF0202, DF0203, DF0204, DF021, DF0210, DF0211, DF0212, DF0213, DF0214, DF022, DF0220, DF0221, DF0222, DF0223, DF0224, DF023, DF0230, DF0231, DF0232, DF0233, DF0234, DF024, DF0240, DF0241, DF0242, DF0243, DF0244, DF028, DF0280, DF0281, DF0282, DF0283, DF0284, DF03, DF039, DF0390, DF0391, DF0392, DF0393, DF0394, DF04, DF049, DF05, DF050, DF051, DF058, DF059, DF06, DF060, DF061, DF062, DF063, DF0630, DF0631, DF0632, DF0633, DF064, DF065, DF066, DF067, DF0670, DF0671, DF068, DF069, DF07, DF070, DF071, DF072, DF078, DF079, DF09, DF099"
Psykiske lidelser og adfærdsmæssige forstyrrelser forårsaget af brug af psykoaktive stoffer [DF10-DF19],DF10-DF19,"DF10, DF100, DF1000, DF1001, DF1002, DF1003, DF1004, DF1005, DF1006, DF1007, DF101, DF102, DF1020, DF1021, DF1022, DF1023, DF1024, DF1025, DF1026, DF103, DF1030, DF1031, DF104, DF1040, DF1041, DF105, DF1050, DF1051, DF1052, DF1053, DF1054, DF1055, DF1056, DF106, DF107, DF1070, DF1071, DF1072, DF1073, DF1074, DF1075, DF108, DF109, DF11, DF110, DF1100, DF1101, DF1102, DF1103, DF1104, DF1105, DF1106, DF111, DF112, DF1120, DF1121, DF1122, DF1123, DF1124, DF1125, DF1126, DF113, DF1130, DF1131, DF114, DF1140, DF1141, DF115, DF1150, DF1151, DF1152, DF1153, DF1154, DF1155, DF1156, DF117, DF1170, DF1171, DF1172, DF1173, DF1174, DF1175, DF118, DF119, DF12, DF120, DF1200, DF1201, DF1202, DF1203, DF1204, DF1205, DF1206, DF121, DF122, DF1220, DF1221, DF1222, DF1223, DF1224, DF1225, DF1226, DF125, DF1250, DF1251, DF1252, DF1253, DF1254, DF1255, DF1256, DF127, DF1270, DF1271, DF1272, DF1273, DF1274, DF1275, DF128, DF129, DF13, DF130, DF1300, DF1301, DF1302, DF1303, DF1304, DF1305, DF1306, DF131, DF132, DF1320, DF1321, DF1322, DF1323, DF1324, DF1325, DF1326, DF133, DF1330, DF1331, DF134, DF1340, DF1341, DF135, DF1350, DF1351, DF1352, DF1353, DF1354, DF1355, DF1356, DF137, DF1370, DF1371, DF1372, DF1373, DF1374, DF1375, DF138, DF139, DF14, DF140, DF1400, DF1401, DF1402, DF1403, DF1404, DF1405, DF1406, DF141, DF142, DF1420, DF1421, DF1422, DF1423, DF1424, DF1425, DF1426, DF143, DF1430, DF1431, DF145, DF1450, DF1451, DF1452, DF1453, DF1454, DF1455, DF1456, DF147, DF1470, DF1471, DF1472, DF1473, DF1474, DF1475, DF148, DF149, DF15, DF150, DF1500, DF1501, DF1502, DF1503, DF1504, DF1505, DF1506, DF151, DF152, DF1520, DF1521, DF1522, DF1523, DF1524, DF1525, DF1526, DF153, DF1530, DF1531, DF155, DF1550, DF1551, DF1552, DF1553, DF1554, DF1555, DF1556, DF157, DF1570, DF1571, DF1572, DF1573, DF1574, DF1575, DF158, DF159, DF16, DF160, DF1600, DF1601, DF1602, DF1603, DF1604, DF1605, DF1606, DF161, DF162, DF1620, DF1621, DF1622, DF1623, DF1624, DF1625, DF1626, DF165, DF1650, DF1651, DF1652, DF1653, DF1654, DF1655, DF1656, DF167, DF1670, DF1671, DF1672, DF1673, DF1674, DF1675, DF168, DF169, DF17, DF170, DF1700, DF1701, DF1702, DF1703, DF1704, DF1705, DF1706, DF171, DF172, DF1720, DF1721, DF1722, DF1723, DF1724, DF1725, DF1726, DF178, DF179, DF18, DF180, DF1800, DF1801, DF1802, DF1803, DF1804, DF1805, DF1806, DF181, DF182, DF1820, DF1821, DF1822, DF1823, DF1824, DF1825, DF1826, DF185, DF1850, DF1851, DF1852, DF1853, DF1854, DF1855, DF1856, DF186, DF187, DF1870, DF1871, DF1872, DF1873, DF1874, DF1875, DF188, DF189, DF19, DF190, DF1900, DF1901, DF1902, DF1903, DF1904, DF1905, DF1906, DF191, DF192, DF1920, DF1921, DF1922, DF1923, DF1924, DF1925, DF1926, DF193, DF1930, DF1931, DF194, DF1940, DF1941, DF195, DF1950, DF1951, DF1952, DF1953, DF1954, DF1955, DF1956, DF196, DF197, DF1970, DF1971, DF1972, DF1973, DF1974, DF1975, DF198, DF199"
"Skizofreni, skizotypisk sindslidelse, paranoide psykoser, akutte og forbigående psykoser samt skizoaffektive psykoser [DF20-DF29]",DF20-DF29,"DF20, DF200, DF2000, DF2001, DF2002, DF2003, DF2004, DF2005, DF2008, DF2009, DF201, DF2010, DF2011, DF2012, DF2013, DF2014, DF2015, DF2018, DF2019, DF202, DF2020, DF2021, DF2022, DF2023, DF2024, DF2025, DF2028, DF2029, DF203, DF2030, DF2031, DF2032, DF2033, DF2034, DF2035, DF2038, DF2039, DF204, DF2040, DF2041, DF2042, DF2043, DF2044, DF2045, DF2048, DF2049, DF205, DF2050, DF2051, DF2052, DF2053, DF2054, DF2055, DF2058, DF2059, DF206, DF2060, DF2061, DF2062, DF2063, DF2064, DF2065, DF2068, DF2069, DF208, DF2080, DF2081, DF2082, DF2083, DF2084, DF2085, DF2088, DF2089, DF209, DF2090, DF2091, DF2092, DF2093, DF2094, DF2095, DF2098, DF2099, DF21, DF219, DF22, DF220, DF228, DF229, DF23, DF230, DF2300, DF2301, DF231, DF2310, DF2311, DF232, DF2320, DF2321, DF233, DF2330, DF2331, DF238, DF2380, DF2381, DF239, DF2390, DF2391, DF24, DF249, DF25, DF250, DF2500, DF2501, DF251, DF2510, DF2511, DF252, DF2520, DF2521, DF258, DF2580, DF2581, DF259, DF2590, DF2591, DF28, DF289, DF29, DF299"
Affektive sindslidelser [DF30-DF39],DF30-DF39,"DF30, DF300, DF301, DF302, DF3020, DF3021, DF308, DF309, DF309A, DF31, DF310, DF311, DF312, DF3120, DF3121, DF313, DF314, DF315, DF3150, DF3151, DF316, DF317, DF318, DF319, DF32, DF320, DF3200, DF3201, DF321, DF3210, DF3211, DF322, DF323, DF3230, DF3231, DF328, DF329, DF33, DF330, DF3300, DF3301, DF331, DF3310, DF3311, DF332, DF333, DF3330, DF3331, DF334, DF338, DF339, DF34, DF340, DF3400, DF3401, DF341, DF3410, DF3411, DF348, DF349, DF38, DF380, DF3800, DF381, DF3810, DF388, DF39, DF399"
Nervøse og stress-relaterede tilstande samt tilstande med psykisk betingede legemlige symptomer [DF40-DF48],DF40-DF48,"DF40, DF400, DF4000, DF4001, DF401, DF402, DF402A, DF408, DF408A, DF409, DF41, DF410, DF4100, DF4101, DF411, DF412, DF413, DF418, DF418A, DF418B, DF419, DF42, DF420, DF421, DF422, DF428, DF429, DF43, DF430, DF4300, DF4301, DF4302, DF431, DF432, DF4320, DF4321, DF4322, DF4323, DF4324, DF4325, DF4328, DF438, DF439, DF44, DF440, DF441, DF442, DF443, DF444, DF445, DF446, DF446A, DF447, DF448, DF4480, DF4481, DF4482, DF4488, DF4488A, DF449, DF45, DF450, DF451, DF452, DF452A, DF453, DF4530, DF4531, DF4532, DF4533, DF4534, DF4538, DF454, DF458, DF459, DF48, DF480, DF481, DF488, DF489"
Adfærdsændringer forbundet med fysiologiske forstyrrelser og fysiske faktorer [DF50-DF59],DF50-DF59,"DF50, DF500, DF501, DF502, DF503, DF504, DF505, DF508, DF508A, DF509, DF51, DF510, DF5100, DF5101, DF5102, DF5103, DF5104, DF5105, DF511, DF5110, DF5111, DF512, DF5120, DF5121, DF5122, DF5123, DF513, DF514, DF515, DF518, DF518A, DF519, DF52, DF520, DF521, DF5210, DF5211, DF522, DF522A, DF523, DF524, DF525, DF526, DF527, DF528, DF529, DF53, DF530, DF530A, DF531, DF538, DF539, DF54, DF549, DF55, DF550, DF551, DF552, DF553, DF554, DF555, DF556, DF558, DF559, DF59, DF599"
Forstyrrelser i personlighedsstruktur og adfærd i voksenalderen [DF60-DF69],DF60-DF69,"DF60, DF600, DF601, DF602, DF603, DF6030, DF6031, DF604, DF605, DF606, DF607, DF608, DF609, DF61, DF610, DF611, DF62, DF620, DF621, DF628, DF629, DF63, DF630, DF631, DF632, DF633, DF638, DF639, DF65, DF650, DF652, DF653, DF654, DF656, DF658, DF659, DF66, DF660, DF661, DF662, DF668, DF669, DF68, DF680, DF681, DF681A, DF681B, DF681C, DF681D, DF688, DF69, DF699"
Mental retardering [DF70-DF79],DF70-DF79,"DF70, DF700, DF701, DF708, DF709, DF71, DF710, DF711, DF718, DF719, DF72, DF720, DF721, DF728, DF729, DF73, DF730, DF731, DF738, DF739, DF78, DF780, DF781, DF788, DF789, DF79, DF790, DF791, DF798, DF799"
Psykiske udviklingsforstyrrelser [DF80-DF89],DF80-DF89,"DF80, DF800, DF801, DF802, DF803, DF808, DF809, DF809A, DF81, DF810, DF811, DF812, DF813, DF818, DF819, DF82, DF829, DF829A, DF83, DF839, DF84, DF840, DF841, DF8410, DF8411, DF8412, DF842, DF843, DF844, DF845, DF848, DF849, DF88, DF889, DF89, DF899"
Adfærds- og følelsesmæssige forstyrrelser sædvanligvis opstået i barndom eller adolescens [DF90-DF98],DF90-DF98,"DF90, DF900, DF901, DF908, DF909, DF91, DF910, DF911, DF912, DF913, DF918, DF919, DF92, DF920, DF928, DF929, DF93, DF930, DF931, DF932, DF933, DF938, DF9380, DF939, DF94, DF940, DF941, DF942, DF948, DF949, DF95, DF950, DF951, DF952, DF958, DF959, DF98, DF980, DF9800, DF9801, DF9802, DF981, DF9810, DF9811, DF9812, DF982, DF983, DF984, DF9840, DF9841, DF9842, DF985, DF986, DF988, DF988A, DF988B, DF988C, DF989"
Ikke nærmere specificerede psykiske lidelser [DF99-DF99],DF99-DF99,"DF99, DF999"
Betændelsessygdomme i centralnervesystemet [DG00-DG09],DG00-DG09,"DG00, DG000, DG001, DG002, DG003, DG008, DG008A, DG008B, DG009, DG009A, DG01, DG019, DG02, DG020, DG021, DG028, DG03, DG030, DG031, DG032, DG038, DG039, DG04, DG040, DG040A, DG041, DG042, DG042A, DG042B, DG048, DG048A, DG048B, DG048C, DG049, DG049A, DG049B, DG049C, DG049D, DG05, DG050, DG050P, DG050R, DG050S, DG051, DG051U, DG051V, DG051X, DG052, DG052K, DG052L, DG052M, DG052N, DG058, DG06, DG060, DG060A, DG060B, DG060C, DG060E, DG060F, DG060G, DG060H, DG060I, DG060J, DG060K, DG060L, DG061, DG061A, DG061C, DG061E, DG061F, DG061G, DG062, DG062A, DG062C, DG07, DG079, DG079A, DG079B, DG079J, DG079K, DG08, DG089, DG09, DG099"
"Generelle atrofier, som primært påvirker centralnervesystemet [DG10-DG14]",DG10-DG14,"DG10, DG109, DG11, DG110, DG111, DG111A, DG111B, DG111C, DG112, DG113, DG113A, DG114, DG118, DG119, DG12, DG120, DG121, DG121A, DG121B, DG121C, DG121D, DG121E, DG121F, DG122, DG122A, DG122B, DG122C, DG122D, DG122E, DG122F, DG122G, DG128, DG129, DG13, DG130, DG131, DG132, DG138, DG14, DG149"
Ekstrapyramidale sygdomme og bevægeforstyrrelser [DG20-DG26],DG20-DG26,"DG20, DG209, DG209A, DG21, DG210, DG211, DG212, DG213, DG214, DG218, DG218A, DG219, DG22, DG229, DG23, DG230, DG231, DG232, DG233, DG238, DG239, DG24, DG240, DG240A, DG241, DG242, DG243, DG244, DG245, DG248, DG249, DG25, DG250, DG251, DG252, DG252A, DG253, DG253A, DG254, DG255, DG255A, DG256, DG256A, DG258, DG258A, DG258D, DG259, DG26, DG269"
Andre degenerative sygdomme i centralnervesystemet [DG30-DG32],DG30-DG32,"DG30, DG300, DG301, DG308, DG309, DG31, DG310, DG310A, DG310B, DG311, DG312, DG312A, DG312B, DG312C, DG312D, DG312E, DG318, DG318A, DG318B, DG318C, DG318E, DG319, DG32, DG320, DG328"
Demyeliniserende sygdomme i centralnervesystemet [DG35-DG37],DG35-DG37,"DG35, DG359, DG359A, DG359B, DG359C, DG36, DG360, DG361, DG368, DG369, DG37, DG370, DG370A, DG371, DG372, DG373, DG373A, DG374, DG375, DG378, DG379"
Episodiske og anfaldsvise lidelser [DG40-DG47],DG40-DG47,"DG40, DG400, DG400A, DG400B, DG400D, DG401, DG401A, DG401B, DG401C, DG401D, DG401E, DG402, DG402A, DG402B, DG402C, DG402D, DG402E, DG403, DG403A, DG403B, DG403C, DG403D, DG403E, DG403F, DG403G, DG403P, DG404, DG404A, DG404B, DG404C, DG404D, DG404E, DG404H, DG405, DG405K, DG405L, DG406, DG407, DG408, DG408A, DG408B, DG409, DG41, DG410, DG411, DG412, DG418, DG419, DG43, DG430, DG431, DG431A, DG431B, DG431C, DG432, DG433, DG433A, DG433B, DG438, DG438A, DG438B, DG438C, DG439, DG44, DG440, DG440A, DG440B, DG441, DG442, DG443, DG444, DG448, DG45, DG450, DG450A, DG450B, DG451, DG452, DG452A, DG453, DG454, DG458, DG459, DG459A, DG46, DG460, DG461, DG462, DG463, DG463A, DG463B, DG463C, DG463D, DG463E, DG463F, DG464, DG465, DG466, DG467, DG468, DG47, DG470, DG4700, DG4702, DG4703, DG471, DG4710, DG4711, DG4712, DG4713, DG4714, DG4715, DG472, DG4720, DG4721, DG4722, DG4723, DG4724, DG4725, DG4726, DG473, DG4730, DG4731, DG4732, DG4734, DG4735, DG4735A, DG4735B, DG4735C, DG4735D, DG4735E, DG4736, DG4739, DG474, DG4741, DG4742, DG4743, DG4744, DG475, DG4751, DG4752, DG4753, DG4754, DG4755, DG4756, DG4757, DG4759, DG475A, DG475B, DG475W, DG476, DG4760, DG4761, DG4762, DG4763, DG4764, DG4765, DG4766, DG4767, DG478, DG478B, DG479"
